unique id,### [Term],#### [Definition],#### [Clarification],
001,Abraham Maslow,"A psychologist known for the hierarchy of needs theory, often referenced in project management to understand team motivation.","Maslow’s theory helps project managers recognize that individuals are motivated by unmet needs, progressing from basic to self-fulfillment.",
002,Accept,A risk response strategy in which the project team decides to acknowledge the risk without taking proactive action unless it occurs.,Acceptance is suitable when the cost or impact of addressing the risk is low or when no viable response is available.,
003,Acceptance,Formal agreement that a deliverable or result meets specified requirements and is officially approved by the stakeholder or customer.,"In project contexts, acceptance is documented confirmation that deliverables meet agreed-upon criteria.",
004,Acceptance criteria,A set of conditions that must be met before deliverables are accepted.,These criteria are used during quality control processes and formal acceptance by stakeholders.,
005,Accessibility,"The degree to which a product, service, environment, or facility is usable by people with varying abilities.",Ensuring accessibility supports inclusivity and meets legal or organizational standards for all users.,
006,Accommodate,A conflict resolution technique that involves yielding to another party’s needs or concerns to maintain harmony.,"Used when the relationship is more important than the issue at hand, often seen as a temporary or low-stakes resolution.",
007,Accountability,"The obligation of an individual or team to account for their actions, accept responsibility, and disclose results in a transparent manner.","In teams, accountability promotes ownership and drives performance outcomes.",
008,Accountable,The individual who is ultimately answerable for the correct and thorough completion of a task or deliverable.,"In a RACI matrix, this is the person who ensures work is completed and decisions are made.",
009,Actions,Specific steps or tasks undertaken to achieve project objectives or manage risks and issues.,Action items are often recorded and tracked in meetings or project logs to ensure follow-up.,
010,Active listening,"A communication technique involving giving full attention to the speaker, understanding their message, and responding thoughtfully.",Improves team collaboration and stakeholder engagement through empathy and clarity.,
011,Activity attributes,Descriptive components associated with schedule activities used for project planning and execution.,"Includes information such as activity codes, dependencies, leads, lags, resource requirements, etc.",
012,Activity list,"A documented tabulation of schedule activities that shows the activity description, identifier, and scope of work.",It helps ensure that all project work is accounted for in the schedule model.,
013,Actual Cost,The realized cost incurred for the work performed on an activity during a specific time period.,"Also known as AC or ACWP, it is a key input in Earned Value Management.",
014,Adaptability,"The ability of an individual, team, or organization to adjust to new conditions and respond to change effectively.",Adaptability enables resilience and responsiveness in dynamic project environments.,
015,Adaptation,A change or adjustment made in response to new or evolving circumstances in a project or environment.,"Common in agile approaches, where frequent inspection leads to iterative change.",
016,Adaptive,A life cycle approach that is flexible and responsive to changing requirements through iterative and incremental delivery.,Used when high levels of uncertainty or stakeholder involvement are expected.,
017,Adjourning,The final stage of team development where the team disbands after achieving its objectives.,"It involves closure, celebration, and transitioning members to new roles or projects.",
018,Affinity diagram,A technique used to organize large amounts of data or ideas into logical groupings based on natural relationships.,"Supports brainstorming, root cause analysis, and requirements gathering by finding themes.",
019,Agile,An iterative approach to project delivery that builds solutions incrementally from the start of the project.,"Emphasizes collaboration, customer feedback, and small, rapid releases of usable products.",
020,Agreement,A mutually binding document that obligates the seller to provide specified products or services and the buyer to pay for them.,"Examples include contracts, memoranda of understanding (MOUs), and service level agreements (SLAs).",
021,Alignment,The degree to which project goals and deliverables support the strategic objectives of the organization.,Ensuring alignment helps justify the project's value and guides prioritization decisions.,
022,Analogous estimation,"A technique that uses the values of parameters from a previous, similar project as the basis for estimating the same parameter in the current project.",It is less costly and time-consuming but generally less accurate than other estimation techniques.,
023,Appraisal,"The evaluation or assessment of performance, value, or contribution, typically for people, assets, or processes.","In projects, appraisals are used for evaluating team member performance or assessing asset value.",
024,Approach,The methodology or strategy selected to deliver the project outcomes effectively.,"Could be predictive, adaptive, or hybrid depending on project characteristics and stakeholder needs.",
025,Approval,"Formal acceptance or agreement that a deliverable, document, or decision meets required standards or expectations.","Typically given by stakeholders, sponsors, or governance bodies.",
