term,anchor_id,letter,story_seed,definition,exam_cue,related,status,include
Acceptance (risk response),gloss-acceptance-risk,A,"We document acceptance and keep a small contingency in reserve.","Acceptance means we choose to live with a risk, document it, and (for active acceptance) set aside contingency instead of taking preventive action now.","If treatment costs outweigh likely impact, acceptance is reasonable. Passive = document/monitor. Active = add contingency + trigger. Don’t jump to avoid/mitigate without evidence.",[[pmp/200-process/280-risk]],draft,Y
Acceptance criteria,gloss-acceptance-criteria,A,"We won’t call the job done until the acceptance criteria are met.","Acceptance criteria are the specific, testable conditions that must be met before a deliverable is approved by the customer or sponsor.","On questions about 'done,' pick Validate Scope using acceptance criteria. Control Quality verifies correctness; it does not grant acceptance. If criteria aren’t met, expect rework or a change request.",[[pmp/200-process/220-scope]],draft,Y
Accepted deliverables,gloss-accepted-deliverables,A,"With accepted deliverables signed off, we move to closure.","Accepted deliverables are verified outputs that have received formal approval from the authorized stakeholder.","After acceptance, deliverables feed Close Project/Phase; they’re not re-tested unless a change request reopens them. Don’t confuse accepted (approved) with verified (checked).",[[pmp/200-process/220-scope]],draft,Y
Actual Cost (AC),gloss-actual-cost,A,"Actual Cost (AC) jumps this sprint after the rush license.","Actual Cost (AC) is the amount of money the project actually spent on the work completed during the period you’re measuring.","Remember CPI = EV ÷ AC and CV = EV − AC. Rising AC without EV growth lowers CPI and makes CV more negative. If asked 'spent so far,' AC is the number—not PV or EV.",[[pmp/200-process/240-cost]],draft,Y
Acquire resources (process),gloss-acquire-resources,A,"We acquire resources later than planned and adjust the calendar.","Acquire Resources is the process of getting the people, equipment, and materials the project needs to perform the work.","Outputs include resource assignments and calendars. Don’t mix with Develop Team (improving people) or Manage Team (day-to-day leadership). If resources aren’t available, escalate or revisit the plan via change control.",[[pmp/200-process/260-resources]],draft,Y
Activity,gloss-activity,A,"We break the work into activities we can actually schedule.","An activity is a scheduled unit of work that consumes time/resources and produces an output.","Defined from WBS work packages. Drives sequencing, estimating, and the network diagram.",[[pmp/200-process/230-schedule]],draft,Y
Activity attributes,gloss-activity-attributes,A,"We capture the details—leads, lags, predecessors—inside the activity attributes.","Activity attributes are the metadata about each activity (IDs, leads/lags, predecessors, resources, calendars, constraints).","Used for sequencing, estimating, and resource planning. Expect exam items about where these fields live.",[[pmp/200-process/230-schedule]],draft,Y
Activity duration estimate,gloss-activity-duration,A,"We timebox uncertainty with three-point duration estimates.","An activity duration estimate is the time required to complete an activity with assigned resources.","PERT/triangular, analogous, parametric, bottom-up—pick by data and stage; near-term work gets the most precision.",[[pmp/200-process/230-schedule]],draft,Y
Activity list,gloss-activity-list,A,"We baseline the activity list before building the network.","The activity list is the comprehensive set of scheduled activities with identifiers and scope descriptions.","Output of Define Activities; input to sequencing and estimating. Expect 'which process outputs this?' style questions.",[[pmp/200-process/230-schedule]],draft,Y
Activity network diagram (AoN/PDM),gloss-activity-network,A,"The diagram exposes the critical and near-critical paths we must protect.","An activity network diagram (AoN/PDM) shows activity dependencies and flow using nodes and logical relationships.","Identifies critical path and float; know FS/SS/FF/SF logic and how changes affect duration.",[[pmp/200-process/230-schedule]],draft,Y
